name,quantity,weight_g,comment,current
Stash bag,1,11,,
Triple Twister peg (spare),1,9,,https://ultralightoutdoorgear.co.uk/nordisk-aluminium-triple-twister-peg-6-pack/
Pole repair tube,1,9,,
Inner-to-fly clip (spare),3,2,,
Ripstop tuff tape,1,3,,
Alcohol wipe,1,2,,
Waterproof patch,2,0.5,,https://www.alpinetrek.co.uk/tear-aid-type-a-repair-patches/
Tenacious Tape silnylon patch,1,2.5,,https://ultralightoutdoorgear.co.uk/tenacious-tape-silnylon-patches/
Glue dot,2,0.7,,
Spare guyline,4,6,,https://ultralightoutdoorgear.co.uk/small-tent-guylines-4-pack-/
